freezer_id,freezer_type,site_id,maintenance_priority,inventory_value_band
FZ-2386-01,walk_in_freezer,S2386,medium,medium
FZ-2386-02,dairy_case,S2386,high,medium
FZ-2386-03,display_freezer,S2386,low,high
FZ-2387-01,reach_in_freezer,S2387,medium,low
FZ-2387-02,reach_in_freezer,S2387,high,low
FZ-2440-01,walk_in_cooler,S2440,medium,high
FZ-2440-02,dairy_case,S2440,high,low
FZ-2440-03,reach_in_freezer,S2440,medium,high
FZ-2604-01,dairy_case,S2604,low,low
FZ-2604-02,display_freezer,S2604,high,high
FZ-2604-03,walk_in_cooler,S2604,low,low
FZ-2647-01,display_freezer,S2647,high,medium
FZ-2647-02,walk_in_cooler,S2647,high,low
FZ-2647-03,walk_in_cooler,S2647,low,low
FZ-2691-01,walk_in_freezer,S2691,medium,medium
FZ-2715-01,walk_in_cooler,S2715,low,low
FZ-2715-02,dairy_case,S2715,medium,low
FZ-2715-03,dairy_case,S2715,low,medium
FZ-2721-01,reach_in_freezer,S2721,low,low
FZ-2721-02,walk_in_cooler,S2721,high,medium
FZ-2721-03,walk_in_freezer,S2721,low,low
FZ-2746-01,display_freezer,S2746,medium,medium
FZ-2746-02,reach_in_freezer,S2746,high,low
FZ-2764-01,reach_in_freezer,S2764,low,low
FZ-2764-02,display_freezer,S2764,medium,high
FZ-2777-01,reach_in_freezer,S2777,high,medium
FZ-2777-02,reach_in_freezer,S2777,medium,medium
FZ-2777-03,walk_in_cooler,S2777,low,medium
FZ-2777-04,reach_in_freezer,S2777,high,low
FZ-2805-01,walk_in_cooler,S2805,medium,low
FZ-2805-02,display_freezer,S2805,medium,medium
FZ-2903-01,walk_in_cooler,S2903,medium,high
FZ-2903-02,display_freezer,S2903,high,medium
FZ-2903-03,reach_in_freezer,S2903,low,medium
FZ-3027-01,walk_in_cooler,S3027,low,low
FZ-3027-02,walk_in_cooler,S3027,low,low
FZ-3027-03,display_freezer,S3027,high,medium
FZ-3027-04,dairy_case,S3027,high,low
FZ-3027-05,walk_in_cooler,S3027,low,high
FZ-3250-01,walk_in_cooler,S3250,low,low
FZ-3250-02,dairy_case,S3250,low,high
FZ-3357-01,dairy_case,S3357,medium,high
FZ-3357-02,dairy_case,S3357,high,low
FZ-3358-01,walk_in_cooler,S3358,low,medium
FZ-3358-02,reach_in_freezer,S3358,medium,medium
FZ-3358-03,display_freezer,S3358,high,high
FZ-3395-01,walk_in_freezer,S3395,low,low
FZ-3395-02,dairy_case,S3395,medium,high
FZ-3395-03,walk_in_freezer,S3395,low,high
FZ-3395-04,dairy_case,S3395,low,medium
FZ-3532-01,walk_in_freezer,S3532,high,low
FZ-3532-02,reach_in_freezer,S3532,low,high
FZ-3556-01,walk_in_freezer,S3556,low,medium
FZ-3556-02,walk_in_cooler,S3556,high,medium
FZ-3570-01,walk_in_cooler,S3570,low,medium
FZ-3570-02,walk_in_freezer,S3570,low,medium
FZ-3570-03,dairy_case,S3570,low,low
FZ-3570-04,reach_in_freezer,S3570,high,high
FZ-3583-01,walk_in_freezer,S3583,medium,medium
FZ-3583-02,dairy_case,S3583,low,low
FZ-3583-03,walk_in_freezer,S3583,low,high
FZ-3627-01,reach_in_freezer,S3627,medium,medium
FZ-3627-02,display_freezer,S3627,low,high
FZ-3682-01,walk_in_freezer,S3682,low,medium
FZ-3682-02,walk_in_freezer,S3682,medium,low
FZ-3682-03,walk_in_freezer,S3682,high,low
FZ-3693-01,walk_in_freezer,S3693,high,low
FZ-3698-01,dairy_case,S3698,low,low
FZ-3698-02,reach_in_freezer,S3698,low,medium
FZ-3708-01,walk_in_freezer,S3708,low,high
FZ-3708-02,walk_in_freezer,S3708,low,low
FZ-3711-01,walk_in_freezer,S3711,medium,medium
FZ-3711-02,walk_in_cooler,S3711,low,high
FZ-3711-03,display_freezer,S3711,low,medium
FZ-3757-01,dairy_case,S3757,low,high
FZ-3757-02,dairy_case,S3757,medium,medium
FZ-3757-03,dairy_case,S3757,low,medium
FZ-3781-01,reach_in_freezer,S3781,medium,medium
FZ-3781-02,dairy_case,S3781,low,low
FZ-3781-03,display_freezer,S3781,low,low
FZ-3833-01,display_freezer,S3833,medium,low
FZ-3833-02,dairy_case,S3833,medium,medium
FZ-3833-03,display_freezer,S3833,low,high
FZ-3850-01,dairy_case,S3850,medium,high
FZ-3850-02,walk_in_cooler,S3850,low,medium
FZ-3850-03,walk_in_freezer,S3850,low,medium
FZ-3852-01,reach_in_freezer,S3852,low,medium
FZ-3852-02,display_freezer,S3852,low,low
FZ-3870-01,dairy_case,S3870,low,high
FZ-3870-02,walk_in_freezer,S3870,low,high
FZ-3911-01,walk_in_cooler,S3911,medium,medium
FZ-3911-02,display_freezer,S3911,low,low
FZ-3911-03,reach_in_freezer,S3911,medium,high
FZ-3911-04,dairy_case,S3911,medium,high
FZ-3911-05,display_freezer,S3911,low,medium
FZ-3914-01,walk_in_freezer,S3914,medium,low
FZ-3914-02,walk_in_freezer,S3914,high,low
FZ-3914-03,walk_in_cooler,S3914,medium,high
FZ-3914-04,dairy_case,S3914,high,high
FZ-3914-05,display_freezer,S3914,medium,low
FZ-4023-01,dairy_case,S4023,high,low
FZ-4046-01,walk_in_freezer,S4046,medium,low
FZ-4046-02,reach_in_freezer,S4046,low,high
FZ-4110-01,display_freezer,S4110,low,low
FZ-4110-02,display_freezer,S4110,low,high
FZ-4112-01,walk_in_freezer,S4112,low,low
FZ-4112-02,reach_in_freezer,S4112,medium,high
FZ-4112-03,display_freezer,S4112,low,low
FZ-4140-01,walk_in_freezer,S4140,medium,medium
FZ-4140-02,reach_in_freezer,S4140,medium,medium
FZ-4161-01,reach_in_freezer,S4161,low,high
FZ-4161-02,walk_in_freezer,S4161,low,low
FZ-4219-01,walk_in_cooler,S4219,low,medium
FZ-4404-01,walk_in_freezer,S4404,low,medium
FZ-4404-02,walk_in_freezer,S4404,low,low
FZ-4404-03,walk_in_freezer,S4404,low,low
FZ-4415-01,walk_in_freezer,S4415,medium,low
FZ-4415-02,reach_in_freezer,S4415,medium,medium
FZ-4433-01,dairy_case,S4433,high,low
FZ-4439-01,dairy_case,S4439,low,low
FZ-4442-01,dairy_case,S4442,high,medium
FZ-4442-02,display_freezer,S4442,medium,medium
FZ-4442-03,walk_in_freezer,S4442,low,low
FZ-4471-01,walk_in_cooler,S4471,medium,high
FZ-4471-02,dairy_case,S4471,low,high
FZ-4471-03,walk_in_freezer,S4471,medium,medium
FZ-4471-04,reach_in_freezer,S4471,low,low
FZ-4474-01,reach_in_freezer,S4474,low,medium
FZ-4474-02,walk_in_freezer,S4474,medium,high
FZ-4486-01,reach_in_freezer,S4486,medium,high
FZ-4522-01,walk_in_cooler,S4522,low,low
FZ-4606-01,walk_in_freezer,S4606,medium,high
FZ-4606-02,display_freezer,S4606,low,high
FZ-4606-03,reach_in_freezer,S4606,medium,high
FZ-4606-04,reach_in_freezer,S4606,high,medium
FZ-4652-01,display_freezer,S4652,medium,high
FZ-4652-02,display_freezer,S4652,low,low
FZ-4652-03,reach_in_freezer,S4652,low,low
FZ-4654-01,walk_in_freezer,S4654,medium,low
FZ-4654-02,reach_in_freezer,S4654,low,high
FZ-4654-03,walk_in_freezer,S4654,high,high
FZ-4654-04,display_freezer,S4654,medium,medium
FZ-4657-01,display_freezer,S4657,medium,high
FZ-4657-02,reach_in_freezer,S4657,high,medium
FZ-4657-03,reach_in_freezer,S4657,low,low
FZ-4841-01,walk_in_freezer,S4841,low,high
FZ-4841-02,reach_in_freezer,S4841,medium,medium
FZ-4841-03,walk_in_freezer,S4841,low,medium
FZ-4841-04,reach_in_freezer,S4841,medium,low
FZ-4903-01,reach_in_freezer,S4903,low,medium
FZ-4903-02,reach_in_freezer,S4903,medium,high
FZ-4903-03,display_freezer,S4903,low,low
FZ-4908-01,walk_in_cooler,S4908,low,high
FZ-4908-02,display_freezer,S4908,high,high
FZ-4908-03,reach_in_freezer,S4908,medium,low
FZ-4989-01,reach_in_freezer,S4989,high,medium
FZ-4989-02,reach_in_freezer,S4989,medium,high
FZ-4989-03,reach_in_freezer,S4989,low,high
FZ-5138-01,walk_in_cooler,S5138,medium,high
FZ-5138-02,walk_in_cooler,S5138,medium,medium
FZ-5138-03,display_freezer,S5138,low,low
FZ-5138-04,reach_in_freezer,S5138,low,low
FZ-5207-01,dairy_case,S5207,low,low
FZ-5207-02,walk_in_freezer,S5207,low,high
FZ-5207-03,walk_in_freezer,S5207,medium,high
FZ-5207-04,dairy_case,S5207,low,low
FZ-5255-01,walk_in_cooler,S5255,low,low
FZ-5255-02,walk_in_freezer,S5255,high,high
FZ-5268-01,walk_in_cooler,S5268,low,medium
FZ-5268-02,reach_in_freezer,S5268,medium,low
FZ-5268-03,reach_in_freezer,S5268,low,high
FZ-5268-04,reach_in_freezer,S5268,medium,low
FZ-5268-05,walk_in_cooler,S5268,low,high
FZ-5410-01,reach_in_freezer,S5410,high,high
FZ-5410-02,reach_in_freezer,S5410,low,low
FZ-5413-01,display_freezer,S5413,high,high
FZ-5413-02,walk_in_cooler,S5413,low,low
FZ-5513-01,display_freezer,S5513,high,medium
FZ-5513-02,walk_in_freezer,S5513,high,high
FZ-5513-03,reach_in_freezer,S5513,medium,low
FZ-5614-01,dairy_case,S5614,low,medium
FZ-5614-02,dairy_case,S5614,low,medium
FZ-5639-01,reach_in_freezer,S5639,low,low
FZ-5639-02,display_freezer,S5639,low,high
FZ-5639-03,reach_in_freezer,S5639,low,high
FZ-5673-01,dairy_case,S5673,medium,high
FZ-5673-02,walk_in_freezer,S5673,low,high
FZ-5673-03,walk_in_cooler,S5673,low,high
FZ-5674-01,reach_in_freezer,S5674,low,low
FZ-5674-02,reach_in_freezer,S5674,high,medium
FZ-5735-01,walk_in_cooler,S5735,medium,low
FZ-5735-02,reach_in_freezer,S5735,low,low
FZ-5735-03,reach_in_freezer,S5735,medium,medium
FZ-5735-04,walk_in_freezer,S5735,high,medium
FZ-5920-01,walk_in_freezer,S5920,medium,low
FZ-5981-01,walk_in_freezer,S5981,low,medium
FZ-6025-01,walk_in_freezer,S6025,low,medium
FZ-6025-02,walk_in_freezer,S6025,high,low
FZ-6030-01,display_freezer,S6030,medium,high
FZ-6030-02,display_freezer,S6030,low,medium
FZ-6047-01,display_freezer,S6047,high,low
FZ-6047-02,walk_in_freezer,S6047,medium,low
FZ-6077-01,walk_in_cooler,S6077,medium,high
FZ-6165-01,walk_in_cooler,S6165,low,low
FZ-6218-01,display_freezer,S6218,high,low
FZ-6218-02,walk_in_cooler,S6218,low,medium
FZ-6218-03,display_freezer,S6218,high,low
FZ-6218-04,walk_in_cooler,S6218,low,low
FZ-6226-01,walk_in_freezer,S6226,low,low
FZ-6226-02,dairy_case,S6226,medium,high
FZ-6226-03,display_freezer,S6226,low,high
FZ-6226-04,walk_in_freezer,S6226,low,high
FZ-6301-01,dairy_case,S6301,low,low
FZ-6301-02,reach_in_freezer,S6301,high,high
FZ-6316-01,dairy_case,S6316,low,high
FZ-6316-02,reach_in_freezer,S6316,low,high
FZ-6324-01,display_freezer,S6324,high,high
FZ-6324-02,walk_in_freezer,S6324,medium,high
FZ-6324-03,display_freezer,S6324,low,low
FZ-6327-01,display_freezer,S6327,low,medium
FZ-6352-01,reach_in_freezer,S6352,medium,low
FZ-6352-02,walk_in_freezer,S6352,high,low
FZ-6404-01,dairy_case,S6404,low,high
FZ-6582-01,dairy_case,S6582,low,medium
FZ-6582-02,reach_in_freezer,S6582,high,medium
FZ-6582-03,dairy_case,S6582,low,medium
FZ-6637-01,walk_in_cooler,S6637,low,low
FZ-6637-02,walk_in_cooler,S6637,low,low
FZ-6637-03,display_freezer,S6637,medium,medium
FZ-6643-01,dairy_case,S6643,low,high
FZ-6643-02,display_freezer,S6643,medium,low
FZ-6672-01,display_freezer,S6672,low,low
FZ-6672-02,walk_in_cooler,S6672,low,low
FZ-6672-03,display_freezer,S6672,low,low
FZ-6973-01,reach_in_freezer,S6973,high,low
FZ-6973-02,dairy_case,S6973,low,low
FZ-6973-03,dairy_case,S6973,low,high
FZ-6973-04,reach_in_freezer,S6973,low,medium
FZ-7012-01,dairy_case,S7012,low,low
FZ-7012-02,walk_in_freezer,S7012,medium,high
FZ-7016-01,dairy_case,S7016,medium,high
FZ-7016-02,display_freezer,S7016,medium,medium
FZ-7016-03,walk_in_freezer,S7016,low,low
FZ-7016-04,walk_in_cooler,S7016,low,medium
FZ-7024-01,reach_in_freezer,S7024,high,medium
FZ-7032-01,display_freezer,S7032,low,low
FZ-7032-02,dairy_case,S7032,medium,medium
FZ-7119-01,walk_in_cooler,S7119,high,low
FZ-7223-01,dairy_case,S7223,medium,medium
FZ-7223-02,walk_in_cooler,S7223,low,high
FZ-7223-03,walk_in_cooler,S7223,medium,low
FZ-7277-01,dairy_case,S7277,low,high
FZ-7277-02,walk_in_freezer,S7277,low,low
FZ-7277-03,walk_in_freezer,S7277,low,high
FZ-7459-01,reach_in_freezer,S7459,high,high
FZ-7459-02,dairy_case,S7459,low,medium
FZ-7459-03,display_freezer,S7459,low,low
FZ-7497-01,display_freezer,S7497,medium,low
FZ-7528-01,dairy_case,S7528,low,medium
FZ-7533-01,walk_in_cooler,S7533,medium,high
FZ-7533-02,display_freezer,S7533,high,low
FZ-7533-03,walk_in_freezer,S7533,medium,medium
FZ-7617-01,display_freezer,S7617,medium,medium
FZ-7627-01,display_freezer,S7627,low,medium
FZ-7673-01,reach_in_freezer,S7673,high,medium
FZ-7673-02,walk_in_cooler,S7673,medium,low
FZ-7673-03,walk_in_freezer,S7673,low,medium
FZ-7768-01,reach_in_freezer,S7768,low,medium
FZ-7768-02,reach_in_freezer,S7768,medium,high
FZ-7768-03,dairy_case,S7768,high,low
FZ-7887-01,reach_in_freezer,S7887,medium,low
FZ-7887-02,reach_in_freezer,S7887,low,low
FZ-8062-01,walk_in_freezer,S8062,low,low
FZ-8062-02,display_freezer,S8062,low,high
FZ-8062-03,walk_in_freezer,S8062,low,medium
FZ-8105-01,reach_in_freezer,S8105,medium,medium
FZ-8105-02,display_freezer,S8105,low,low
FZ-8185-01,walk_in_freezer,S8185,high,medium
FZ-8185-02,dairy_case,S8185,low,low
FZ-8279-01,walk_in_freezer,S8279,low,high
FZ-8279-02,display_freezer,S8279,low,medium
FZ-8301-01,dairy_case,S8301,low,high
FZ-8301-02,walk_in_cooler,S8301,medium,low
FZ-8301-03,reach_in_freezer,S8301,medium,low
FZ-8301-04,display_freezer,S8301,low,medium
FZ-8379-01,walk_in_cooler,S8379,low,high
FZ-8379-02,walk_in_cooler,S8379,low,high
FZ-8379-03,reach_in_freezer,S8379,medium,low
FZ-8417-01,dairy_case,S8417,medium,low
FZ-8417-02,display_freezer,S8417,medium,low
FZ-8448-01,walk_in_freezer,S8448,low,medium
FZ-8579-01,reach_in_freezer,S8579,medium,medium
FZ-8745-01,reach_in_freezer,S8745,medium,low
FZ-8745-02,dairy_case,S8745,medium,low
FZ-8745-03,reach_in_freezer,S8745,high,medium
FZ-8769-01,walk_in_cooler,S8769,low,high
FZ-8769-02,reach_in_freezer,S8769,medium,high
FZ-8769-03,display_freezer,S8769,medium,high
FZ-8789-01,walk_in_cooler,S8789,low,medium
FZ-8789-02,dairy_case,S8789,medium,high
FZ-8789-03,display_freezer,S8789,medium,medium
FZ-8827-01,walk_in_freezer,S8827,medium,medium
FZ-8827-02,dairy_case,S8827,low,medium
FZ-8827-03,walk_in_freezer,S8827,high,low
FZ-8827-04,walk_in_freezer,S8827,low,low
FZ-8827-05,walk_in_cooler,S8827,low,high
FZ-8827-06,dairy_case,S8827,high,high
FZ-8851-01,walk_in_freezer,S8851,low,low
FZ-8851-02,reach_in_freezer,S8851,medium,medium
FZ-8851-03,reach_in_freezer,S8851,low,high
FZ-8885-01,reach_in_freezer,S8885,low,high
FZ-8885-02,walk_in_cooler,S8885,medium,medium
FZ-8885-03,display_freezer,S8885,low,low
FZ-8897-01,display_freezer,S8897,low,high
FZ-8897-02,reach_in_freezer,S8897,low,low
FZ-8897-03,walk_in_cooler,S8897,low,low
FZ-8930-01,dairy_case,S8930,medium,low
FZ-8930-02,walk_in_freezer,S8930,medium,low
FZ-8935-01,dairy_case,S8935,high,high
FZ-8935-02,walk_in_cooler,S8935,low,low
FZ-8935-03,walk_in_cooler,S8935,low,medium
FZ-8937-01,reach_in_freezer,S8937,low,low
FZ-8937-02,display_freezer,S8937,high,medium
FZ-8937-03,walk_in_freezer,S8937,medium,medium
FZ-9028-01,walk_in_freezer,S9028,medium,medium
FZ-9028-02,display_freezer,S9028,low,medium
FZ-9035-01,walk_in_cooler,S9035,low,high
FZ-9035-02,walk_in_freezer,S9035,medium,high
FZ-9035-03,reach_in_freezer,S9035,high,high
FZ-9035-04,reach_in_freezer,S9035,low,high
FZ-9035-05,reach_in_freezer,S9035,medium,high
FZ-9107-01,walk_in_freezer,S9107,medium,medium
FZ-9107-02,walk_in_cooler,S9107,high,high
FZ-9144-01,walk_in_freezer,S9144,high,low
FZ-9144-02,dairy_case,S9144,high,low
FZ-9144-03,reach_in_freezer,S9144,high,high
FZ-9164-01,dairy_case,S9164,high,low
FZ-9164-02,display_freezer,S9164,low,high
FZ-9175-01,reach_in_freezer,S9175,high,medium
FZ-9175-02,reach_in_freezer,S9175,high,high
FZ-9225-01,reach_in_freezer,S9225,low,low
FZ-9225-02,walk_in_freezer,S9225,low,low
FZ-9295-01,walk_in_freezer,S9295,medium,high
FZ-9295-02,display_freezer,S9295,medium,low
FZ-9295-03,dairy_case,S9295,high,high
FZ-9295-04,display_freezer,S9295,low,medium
FZ-9297-01,walk_in_freezer,S9297,low,low
FZ-9392-01,walk_in_freezer,S9392,low,low
FZ-9392-02,walk_in_cooler,S9392,high,low
FZ-9395-01,walk_in_cooler,S9395,low,medium
FZ-9559-01,walk_in_cooler,S9559,low,low
FZ-9559-02,reach_in_freezer,S9559,low,medium
FZ-9559-03,dairy_case,S9559,medium,low
FZ-9559-04,walk_in_freezer,S9559,high,low
FZ-9559-05,display_freezer,S9559,low,low
FZ-9660-01,walk_in_freezer,S9660,medium,medium
FZ-9660-02,reach_in_freezer,S9660,medium,medium
FZ-9660-03,display_freezer,S9660,medium,low
FZ-9677-01,walk_in_freezer,S9677,medium,high
FZ-9677-02,walk_in_freezer,S9677,low,high
FZ-9738-01,walk_in_freezer,S9738,medium,low
FZ-9738-02,display_freezer,S9738,medium,medium
FZ-9738-03,walk_in_freezer,S9738,low,medium
FZ-9741-01,walk_in_freezer,S9741,low,medium
FZ-9741-02,walk_in_freezer,S9741,medium,high
FZ-9741-03,reach_in_freezer,S9741,medium,medium
FZ-9741-04,walk_in_freezer,S9741,low,high
FZ-9754-01,walk_in_cooler,S9754,low,high
FZ-9754-02,walk_in_cooler,S9754,medium,low
FZ-9774-01,reach_in_freezer,S9774,low,high
FZ-9863-01,dairy_case,S9863,low,high
FZ-9871-01,walk_in_freezer,S9871,low,high
FZ-9871-02,walk_in_cooler,S9871,high,medium
FZ-9871-03,reach_in_freezer,S9871,high,low
FZ-9913-01,dairy_case,S9913,high,low
FZ-9913-02,walk_in_cooler,S9913,medium,medium
FZ-9913-03,display_freezer,S9913,low,low
FZ-9913-04,display_freezer,S9913,medium,high
FZ-9913-05,walk_in_freezer,S9913,low,low
FZ-9963-01,reach_in_freezer,S9963,medium,medium
FZ-9991-01,display_freezer,S9991,high,low
FZ-9991-02,reach_in_freezer,S9991,low,high
FZ-9991-03,walk_in_cooler,S9991,low,high
FZ-9991-04,reach_in_freezer,S9991,medium,high
