site_id,site_name,site_region
S6030,Store 6030 Phoenix,AZ
S6047,Store 6047 Charlotte,NC
S6077,Store 6077 Orlando,FL
S6165,Store 6165 Charlotte,NC
S6218,Store 6218 Raleigh,NC
S6226,Store 6226 Dallas,TX
S6301,Store 6301 Raleigh,NC
S6316,Store 6316 Houston,TX
S6324,Store 6324 Portland,OR
S6327,Store 6327 Newark,NJ
S6352,Store 6352 Charlotte,NC
S6404,Store 6404 Charlotte,NC
S6582,Store 6582 Columbus,OH
S6637,Store 6637 Sacramento,CA
S6643,Store 6643 Atlanta,GA
S6672,Store 6672 Tampa,FL
S6973,Store 6973 Newark,NJ
S7012,Store 7012 Denver,CO
S7016,Store 7016 Sacramento,CA
S7024,Store 7024 Orlando,FL
S7032,Store 7032 Atlanta,GA
S7119,Store 7119 Seattle,WA
S7223,Store 7223 Tucson,AZ
S7277,Store 7277 Newark,NJ
S7459,Store 7459 Boston,MA
S7497,Store 7497 Denver,CO
S7528,Store 7528 Chicago,IL
S7533,Store 7533 Sacramento,CA
S7617,Store 7617 Boise,ID
S7627,Store 7627 Houston,TX
S7673,Store 7673 Austin,TX
S7768,Store 7768 Chicago,IL
S7887,Store 7887 Raleigh,NC
S8062,Store 8062 Charlotte,NC
S8105,Store 8105 Phoenix,AZ
S8185,Store 8185 Houston,TX
S8279,Store 8279 Nashville,TN
S8301,Store 8301 Tampa,FL
S8379,Store 8379 Columbus,OH
S8417,Store 8417 Atlanta,GA
S8448,Store 8448 Tucson,AZ
S8579,Store 8579 Fresno,CA
S8745,Store 8745 Houston,TX
S8769,Store 8769 Orlando,FL
S8789,Store 8789 Fresno,CA
S8827,Store 8827 Denver,CO
S8851,Store 8851 Miami,FL
S8885,Store 8885 Chicago,IL
S8897,Store 8897 Kansas City,MO
S8930,Store 8930 Nashville,TN
S8935,Store 8935 Denver,CO
S8937,Store 8937 Denver,CO
S9028,Store 9028 Raleigh,NC
S9035,Store 9035 Reno,NV
S9107,Store 9107 Boston,MA
S9144,Store 9144 Columbus,OH
S9164,Store 9164 Austin,TX
S9175,Store 9175 Newark,NJ
S9225,Store 9225 Kansas City,MO
S9295,Store 9295 Nashville,TN
S9297,Store 9297 Denver,CO
S9392,Store 9392 Newark,NJ
S9395,Store 9395 Phoenix,AZ
S9559,Store 9559 Tucson,AZ
S9660,Store 9660 Atlanta,GA
S9677,Store 9677 Phoenix,AZ
S9738,Store 9738 Phoenix,AZ
S9741,Store 9741 Omaha,NE
S9754,Store 9754 Nashville,TN
S9774,Store 9774 Tucson,AZ
S9863,Store 9863 Atlanta,GA
S9871,Store 9871 Denver,CO
S9913,Store 9913 Raleigh,NC
S9963,Store 9963 Tampa,FL
S9991,Store 9991 Denver,CO
